,weeks,song_name,artist_name,url_avg,et_url_avg,display_url_avg,hashtag_avg,et_hashtag_avg,avg_followers,avg_friends,avg_listed,sum_trunc,sum_http,avg_tokens,avg_char,avg_senti,avg_emoji_count,tweets_count
13524,0.0,Bandit,,0.2571428571428571,0.0380952380952381,0.2571428571428571,0.5285714285714286,0.20476190476190476,49977.94761904762,1093.9238095238095,117.3,34,70,18.004761904761907,114.86190476190477,0.3360871415585279,0.18095238095238095,210
13525,9.0,Lovesick Girls,BTS,0.0049504950495049506,0.0,0.0049504950495049506,1.5495049504950495,0.009900990099009901,1269.7821782178219,590.6980198019802,6.143564356435643,1,1,24.866336633663366,139.17821782178217,0.31130198381914953,0.1188118811881188,202
13526,11.0,,Lady Gaga,0.04109904270986745,0.0035898379970544917,0.04109904270986745,0.6860272459499264,0.01601620029455081,1070.2033781296025,760.7156664212076,7.398011782032401,472,5979,18.944817746686304,109.88217967599411,0.37900539981439607,0.14971465390279823,21728
13527,11.0,Ice Cream,,0.0913978494623656,0.010752688172043012,0.0913978494623656,0.8494623655913979,0.026881720430107527,1069.0698924731182,875.6881720430108,14.935483870967742,12,103,18.053763440860216,110.04838709677419,0.12789946429992236,0.45161290322580644,186
13528,6.0,Body,Trippie Redd,0.0,0.0,0.0,0.0,0.0,687.0909090909091,358.6363636363636,3.6363636363636362,0,0,13.0,78.0,0.3612000048160553,0.0,11
13529,9.0,Ew,Lil Nas X,0.42857142857142855,0.0,0.42857142857142855,0.7142857142857143,0.0,4856.0,425.0,50.714285714285715,0,4,19.428571428571427,101.57142857142857,-0.03485714431319918,0.0,7
13530,11.0,GO,Juice WRLD,0.10526315789473684,0.0,0.10526315789473684,0.02631578947368421,0.34210526315789475,1744.6842105263158,1565.4736842105262,15.552631578947368,3,7,21.157894736842106,117.89473684210526,0.08408684146247412,0.9473684210526315,38
13531,8.0,Daylight,Taylor Swift,0.046511627906976744,0.0,0.046511627906976744,0.046511627906976744,0.0,1223.6976744186047,926.7441860465116,15.465116279069768,0,40,15.674418604651162,97.79069767441861,0.21582557884759682,0.0,43
13532,12.0,GO,Don Toliver,0.03125,0.0,0.03125,0.0,0.0,690.984375,649.703125,4.015625,1,52,13.890625,84.6875,0.03763593768235296,0.34375,64
13533,13.0,HOLIDAY,Frank Sinatra,0.0,0.0,0.0,0.0,0.0,593.0,616.5,1.5,0,0,15.5,91.5,0.6186999976634979,0.0,2
13534,11.0,Holy,Future,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,1631.3333333333333,379.0,3.6666666666666665,1,1,19.666666666666668,112.66666666666667,0.0935666561126709,0.0,3
13535,11.0,cardigan,CJ,0.0,0.0,0.0,1.0,0.0,926.95,800.65,4.35,0,40,20.625,122.375,0.49541249200701715,0.0,40
13536,4.0,Falling,ZAYN,0.0,0.0,0.0,0.0,0.0,712.9310344827586,445.44827586206895,3.4482758620689653,0,29,20.0,129.0,0.42149999737739563,1.0,29
13537,6.0,Run,Fleetwood Mac,0.5,0.0,0.5,0.0,0.0,346.25,1480.75,2.25,2,2,23.25,122.25,0.23417499661445618,0.75,4
13538,4.0,SICKO MODE,,0.16666666666666666,0.0,0.16666666666666666,0.08333333333333333,0.0,489.9166666666667,630.6666666666666,1.4166666666666667,2,2,16.583333333333332,93.83333333333333,0.28019166520486277,0.0,12
13539,2.0,Movie,Future,0.4,0.0,0.4,0.6666666666666666,0.0,1576.0666666666666,1035.8,56.266666666666666,4,8,21.266666666666666,123.73333333333333,0.13607999682426453,0.0,15
13540,4.0,,Nat King Cole,0.4485981308411215,0.04672897196261682,0.4485981308411215,0.14018691588785046,0.037383177570093455,1338.5794392523364,1047.6915887850466,26.121495327102803,15,62,16.0,91.5233644859813,0.1883112141322867,0.205607476635514,107
13541,8.0,Ew,Internet Money,0.6666666666666666,0.0,0.6666666666666666,1.6666666666666667,2.3333333333333335,1265.0,1296.0,20.666666666666668,1,2,17.0,117.66666666666667,-0.11333333452542622,0.3333333333333333,3
13542,0.0,Falling,Justin Bieber,1.0,0.0,1.0,0.4,0.0,1823.4,1860.8,0.4,0,5,15.2,104.2,-0.15309999883174896,0.0,5
13543,10.0,Intro,CJ,0.5,0.375,0.5,0.625,1.0,5024.375,1596.5,95.625,4,8,21.625,128.25,-0.05288749933242798,0.25,8
13544,13.0,,Ty Dolla $ign,0.7096774193548387,0.2903225806451613,0.7096774193548387,0.41935483870967744,1.4516129032258065,8263.193548387097,2610.8387096774195,46.45161290322581,10,21,17.903225806451612,102.90322580645162,0.3867645117063676,0.3870967741935484,31
13545,3.0,Better,Marshmello,0.21428571428571427,0.0,0.21428571428571427,0.0,0.0,1777.0,822.7857142857143,6.142857142857143,3,4,17.285714285714285,116.85714285714286,0.48783571858491215,0.2857142857142857,14
13546,4.0,Ew,Harry Styles,0.2972972972972973,0.02702702702702703,0.2972972972972973,0.1891891891891892,0.08108108108108109,3371.864864864865,1607.054054054054,43.513513513513516,5,11,21.7027027027027,122.72972972972973,0.3277729747665895,0.2972972972972973,37
13547,5.0,Intro,Shawn Mendes,0.5,0.0,0.5,0.0,0.0,10776.5,774.5,24.5,1,1,19.0,103.5,0.5934500023722649,0.5,2
13548,6.0,HIGHEST IN THE ROOM,Travis Scott,0.5,0.0,0.5,1.25,0.0,235.5,288.25,3.5,0,2,14.0,92.25,0.1652749963104725,0.0,4
13549,8.0,Ew,Bebe Rexha,0.42857142857142855,0.0,0.42857142857142855,0.0,0.21428571428571427,1599.2857142857142,1289.5714285714287,23.357142857142858,1,13,21.642857142857142,130.35714285714286,0.010642860616956438,0.2857142857142857,14
13550,3.0,kiss kiss,Chris Brown,1.0,0.0,1.0,2.0,0.0,4202.0,901.0,55.0,0,1,21.0,126.0,0.7088000178337097,0.0,1
13551,2.0,Flex,BLACKPINK,0.0,0.0,0.0,0.0,0.0,481.5,730.8,1.1,0,3,26.1,140.0,0.45126000642776487,0.0,10
13552,9.0,UN DIA,,0.5,0.5,0.5,1.0,0.0,13812.5,3626.5,113.0,1,1,22.0,125.5,-0.165499996393919,0.0,2
13553,0.0,Movie,Elvis Presley,0.5,0.0,0.5,0.0,0.0,484.0,490.0,9.0,0,1,21.0,138.5,0.6115499883890152,0.0,2
13554,10.0,GO,J Balvin,0.0,0.0,0.0,0.0,0.0,1050.0833333333333,1166.0833333333333,9.25,0,0,23.25,140.75,0.10312499602635701,0.08333333333333333,12
13555,7.0,WITHOUT YOU,Mariah Carey,0.0,0.0,0.0,0.0,0.0,2467.0,4900.0,0.0,0,0,15.0,110.0,0.6123999953269958,0.0,1
13556,0.0,Lonely,BTS,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,414.6666666666667,644.0,3.3333333333333335,2,2,25.333333333333332,140.0,-0.16456666588783264,0.0,3
13557,1.0,GO,Ashnikko,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,99.66666666666667,200.66666666666666,0.3333333333333333,1,1,18.0,104.66666666666667,-0.09106665849685669,0.0,3
13558,7.0,Mad at Disney,,0.25,0.0,0.25,0.0,0.0,204.75,387.5,2.75,1,1,17.5,78.5,-0.5778500027954578,0.0,4
13559,12.0,title track,CJ,1.0,0.0,1.0,0.0,2.5,854.0,803.0,7.0,1,2,20.5,115.5,0.3540000021457672,0.0,2
13560,2.0,Ice Cream,Marshmello,0.0,0.0,0.0,0.0,0.0,722.4285714285714,719.5714285714286,2.142857142857143,0,2,10.428571428571429,80.42857142857143,0.14814285614660808,0.14285714285714285,7
13561,2.0,Daisy,Taylor Swift,0.0,0.0,0.0,0.0,0.0,1692.25,1274.25,20.0,0,0,28.0,140.0,0.6742750070989132,0.0,4
13562,8.0,GO,Ashnikko,0.0,0.0,0.0,0.0,0.0,671.1666666666666,530.1666666666666,13.166666666666666,0,0,15.333333333333334,95.83333333333333,0.4231666711469491,1.0,6
13563,1.0,Prisoner,Perry Como,1.0,0.0,1.0,0.0,0.0,1183.0,189.0,11.0,0,1,12.0,79.0,-0.5422999858856201,0.0,1
13564,12.0,Better,Pop Smoke,0.0,0.0,0.0,0.0,0.0,500.0,599.3333333333334,2.6666666666666665,0,0,16.333333333333332,91.66666666666667,0.44040000438690186,0.0,3
13565,1.0,Levitating,CJ,2.0,0.0,2.0,1.0,0.0,198.0,1244.0,0.0,0,1,18.0,116.0,0.0,0.0,1
13566,2.0,Run,Mustard,0.0,0.0,0.0,0.0,0.0,627.75,553.5,8.75,0,0,12.5,69.5,-0.46357498690485954,0.0,4
13567,4.0,BOOKER T,,0.75,0.0,0.75,0.0,0.0,5493.75,2953.25,110.75,1,4,18.75,106.5,0.1262999977916479,0.75,4
13568,8.0,Holy,Wallows,0.0,0.0,0.0,0.0,0.0,287.0,963.1428571428571,7.857142857142857,0,1,7.857142857142857,53.714285714285715,-0.23310000130108424,0.0,7
13569,10.0,UN DIA,J Balvin,1.0,0.0,1.0,0.0,0.0,197.0,119.0,0.0,0,1,19.0,89.0,0.0,0.0,1
13570,5.0,Body,Rod Wave,0.0,0.0,0.0,0.0,0.0,2517.3333333333335,1244.3333333333333,28.666666666666668,0,0,12.333333333333334,71.33333333333333,0.13486666480700174,0.6666666666666666,3
13571,10.0,Run,Billie Eilish,0.0,0.0,0.0,0.0,0.0,1667.0,253.0,10.0,0,0,16.0,94.0,0.0,0.0,1
13572,1.0,Flex,Juice WRLD,1.0,0.0,1.0,5.0,0.0,110.0,323.0,0.0,0,1,15.0,118.0,0.0,0.0,1
13573,11.0,Hit Different,King Von,0.0,0.0,0.0,0.0,0.0,8.0,127.0,0.0,0,1,14.0,78.0,-0.5573999881744385,1.0,1
13574,10.0,Bet You Wanna,Lady Gaga,0.0,0.0,0.0,0.0,0.0,865.0,1016.0,0.0,0,0,27.0,140.0,0.42149999737739563,0.0,1
13575,13.0,Ew,Ty Dolla $ign,2.0,1.0,2.0,3.0,5.0,117.0,323.0,0.0,1,1,21.0,140.0,0.38179999589920044,0.0,1
13576,9.0,Lemonade,Internet Money,1.0,0.0,1.0,0.0,0.0,218.5,573.5,4.0,0,2,13.5,79.5,-0.17000000178813934,1.5,2
13577,5.0,NITROUS,Joji,0.0,0.0,0.0,0.0,0.0,422.0,678.0,14.0,0,0,22.0,125.0,-0.10100000351667404,0.0,1
13578,6.0,Ew,Frank Sinatra,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,1.3333333333333333,515.3333333333334,350.3333333333333,5.666666666666667,2,2,23.333333333333332,122.66666666666667,0.40556666254997253,0.0,3
13579,4.0,Still Don't Know My Name,,0.0,0.0,0.0,0.0,0.0,207.0,107.0,1.0,0,0,7.0,36.0,0.0,0.0,1
13580,4.0,Body,BTS,0.01643835616438356,0.0,0.01643835616438356,0.04657534246575343,0.0,830.0150684931507,805.2712328767124,7.079452054794521,11,59,22.40958904109589,135.5945205479452,0.7482601186439191,0.030136986301369864,730
13581,1.0,GO,Big Sean,0.8598870056497175,0.010169491525423728,0.8598870056497175,0.015819209039548022,0.061016949152542375,17692.54011299435,1045.1062146892655,20.392090395480228,23,772,19.954802259887007,114.33220338983051,0.6863363735251508,0.8892655367231639,885
13582,1.0,Better,,0.12682678866437921,0.013597661710509594,0.12682678866437921,0.12085398398780023,0.04981573262168001,1996.4778243741264,1025.8438175117549,14.052484432583556,653,2504,17.36459524717245,100.85639852586097,0.45131880793184814,0.514804930740882,7869
13583,4.0,Savage Remix,,0.0,0.0,0.0,0.21428571428571427,0.0,999.7857142857143,724.9285714285714,3.2857142857142856,0,0,21.285714285714285,125.64285714285714,-0.16089285271508352,0.2857142857142857,14
13584,0.0,Ew,ZAYN,0.041916167664670656,0.011976047904191617,0.041916167664670656,0.33532934131736525,0.017964071856287425,898.2215568862275,780.0,10.221556886227544,4,21,19.982035928143713,125.90419161676647,0.2655383201237924,0.2754491017964072,167
13585,3.0,,Machine Gun Kelly,0.2532133676092545,0.05398457583547558,0.2532133676092545,0.16580976863753213,0.08611825192802057,17465.755784061697,995.2429305912597,77.8611825192802,69,353,16.73393316195373,98.63624678663238,-0.16053136322254694,0.596401028277635,778
13586,3.0,,DJ Khaled,0.2465753424657534,0.0730593607305936,0.2465753424657534,0.2602739726027397,0.1537290715372907,2937.1750380517506,1298.150684931507,19.421613394216134,53,234,13.858447488584474,80.43226788432268,0.11593668126533746,0.258751902587519,657
13587,8.0,GO,,0.19284762154414184,0.028238063102003937,0.19284762154414184,0.5667467944248927,0.12946117336040203,17217.89844782679,1253.7970797057396,32.412092784597625,18974,62388,18.92750575860165,111.21744368282793,0.2545903792836355,0.5283412438579563,179297
13588,8.0,Flex,,0.2045977011494253,0.041379310344827586,0.2045977011494253,0.36091954022988504,0.09425287356321839,3282.3333333333335,1466.832183908046,12.250574712643678,35,170,19.114942528735632,114.82988505747126,0.22970689691003712,0.7471264367816092,435
13589,9.0,,Morgan Wallen,0.10614525139664804,0.01675977653631285,0.10614525139664804,0.0893854748603352,0.0111731843575419,6374.061452513966,640.022346368715,10.687150837988828,6,101,12.050279329608939,76.29608938547486,0.10629161938442198,0.3463687150837989,179
13590,9.0,positions,blackbear,0.0,0.0,0.0,0.0,0.0,942.6666666666666,295.6666666666667,6.0,0,0,10.666666666666666,65.33333333333333,0.5146333277225494,0.0,3
13591,8.0,,Tate McRae,0.18779342723004694,0.009389671361502348,0.18779342723004694,0.11267605633802817,0.018779342723004695,1417.8403755868544,929.4319248826291,10.140845070422536,7,137,11.333333333333334,67.39906103286386,-0.22568074998581353,0.460093896713615,213
13592,10.0,,Jack Harlow,0.141804788213628,0.020257826887661142,0.141804788213628,0.0570902394106814,0.03314917127071823,10503.349907918968,1117.5469613259668,46.858195211786374,23,194,13.790055248618785,78.99079189686924,0.00863499055800078,0.3020257826887661,543
13593,7.0,UN DIA,,0.0,0.0,0.0,0.0,0.0,672.7,600.9,6.4,0,1,24.1,133.2,0.45597001276910304,1.0,10
