,week,url_avg,et_url_avg,display_url_avg,hashtag_avg,et_hashtag_avg,avg_followers,avg_friends,avg_listed,sum_trunc,sum_http,avg_tokens,avg_char,avg_senti,avg_emoji_count,song_id,artist_id
769,7,1.0,0.0,1.0,5.0,0.0,3731.0,3529.0,44.0,0.0,1.0,17.0,100.0,0.38019999861717213,0.0,20,17
774,7,1.0,0.0,1.0,1.0,0.0,3903.0,676.5,8.0,0.0,2.0,15.5,90.5,0.08895000070333481,0.0,66,55
776,7,0.2222222222222222,0.0,0.2222222222222222,0.6666666666666666,0.0,691.2777777777777,785.9444444444445,4.777777777777779,2.0,11.0,18.277777777777782,123.11111111111113,0.5219333312577672,0.6111111111111112,17,15
779,7,0.2857142857142857,0.0,0.2857142857142857,0.7142857142857143,1.0,645.8571428571429,820.5714285714287,9.714285714285714,1.0,2.0,12.571428571428573,81.28571428571429,0.236685716680118,0.0,75,63
780,7,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,939.6666666666665,1730.333333333333,2.333333333333333,1.0,2.0,18.666666666666668,123.66666666666669,0.3605666657288869,0.6666666666666666,62,52
782,7,0.0,0.0,0.0,0.0,0.0,3234.6785714285716,1978.5357142857144,9.821428571428571,0.0,26.0,18.0,112.85714285714286,0.024285714541162764,0.14285714285714285,86,74
788,7,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,8.666666666666666,8.0,0.0,2.0,2.0,19.666666666666668,109.66666666666669,0.12816667556762695,0.3333333333333333,28,20
789,7,0.0,0.0,0.0,0.0,0.0,713.0,2365.0,6.0,0.0,1.0,21.0,110.0,-0.02580000087618828,0.0,77,65
792,7,1.0,0.0,1.0,0.0,0.0,10.0,76.0,0.0,1.0,1.0,28.0,140.0,0.0,0.0,87,38
793,7,0.6666666666666666,0.0,0.6666666666666666,2.0,0.0,1771.333333333333,931.3333333333335,25.66666666666667,1.0,2.0,16.666666666666668,103.0,0.4923666715621948,0.6666666666666666,68,57
794,7,1.0,0.0,1.0,5.0,0.0,7517.0,31.0,253.0,0.0,1.0,17.0,128.0,0.4018999934196472,0.0,23,9
797,7,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.0,0.0,3456.666666666666,2220.333333333333,7.0,3.0,3.0,22.66666666666667,131.66666666666666,0.7198666731516519,0.0,63,53
801,8,0.0,0.0,0.0,1.0,0.0,730.0,768.5,7.0,0.0,0.0,22.0,114.0,0.5092999935150146,0.0,0,0
803,8,0.1129032258064516,0.03225806451612903,0.1129032258064516,0.6612903225806451,0.04838709677419355,1054.8387096774193,864.6451612903226,9.064516129032258,2.0,9.0,20.016129032258068,109.83870967741936,0.33656612387107265,0.25806451612903225,1,1
804,8,0.03839697859840537,0.0012064624422996222,0.03839697859840537,1.794079591551266,0.02138410966568751,1009.8628304657994,741.8649286613513,5.32668904741922,356.0,11228.0,18.685830186040004,116.12597915792419,0.28862794158982985,0.44422296824730734,49,40
808,8,0.2127659574468085,0.06382978723404255,0.2127659574468085,0.14893617021276595,0.0,2484.7021276595747,1056.2127659574471,31.46808510638298,6.0,23.0,21.446808510638302,129.3404255319149,0.3486723408420035,0.5957446808510638,3,3
810,8,0.0,0.0,0.0,0.25,0.0,3987.75,2875.25,3.5,0.0,2.0,21.0,108.0,0.1468000002205372,1.5,5,5
811,8,0.2857142857142857,0.07142857142857142,0.2857142857142857,0.023809523809523808,0.047619047619047616,1193.357142857143,1283.7619047619048,42.476190476190474,4.0,14.0,22.66666666666667,123.61904761904762,0.4761952335635821,0.0,82,70
813,8,2.0,1.0,2.0,0.0,0.0,1788.0,2502.0,52.0,1.0,1.0,22.0,140.0,0.4214999973773956,0.0,88,75
815,8,0.5,0.0,0.5,0.0,4.0,1678.0,1332.5,2.5,1.0,1.0,23.0,119.5,0.16910000145435333,2.0,52,43
816,8,1.0,0.0,1.0,0.0,0.0,1711.333333333333,2073.333333333333,93.66666666666669,0.0,3.0,14.666666666666664,83.33333333333333,0.0,0.0,29,24
818,8,0.14814814814814814,0.0,0.14814814814814814,0.7037037037037037,0.0,684.074074074074,737.1851851851852,6.222222222222222,1.0,7.0,20.777777777777782,110.33333333333331,0.4603666625916958,0.07407407407407407,9,8
